
,,Ankylosaurus.png,Bikes.png,ColorChart.png,DangerdeMort.png,Desktop.png,Flowers.png,FountainVincent.png,Friends.png,ISOChart.png,Magnets.png,StonePillarsOutside.png,Vespa.png
QP,3.258510e+01,3.093507e+01,3.075127e+01,3.207637e+01,3.291275e+01,3.157687e+01,2.986325e+01,3.381297e+01,3.219706e+01,3.390808e+01,3.213451e+01,3.253548e+01,
QP,9.445122e-01,8.774599e-01,9.050964e-01,8.723684e-01,9.418621e-01,8.703790e-01,8.601003e-01,9.402324e-01,8.907595e-01,9.512929e-01,9.091895e-01,8.717721e-01,
,,Ankylosaurus.png,Bikes.png,ColorChart.png,DangerdeMort.png,Desktop.png,Flowers.png,FountainVincent.png,Friends.png,ISOChart.png,Magnets.png,StonePillarsOutside.png,Vespa.png
QP,3.216250e+01,2.995289e+01,2.987180e+01,3.107810e+01,3.195281e+01,3.059097e+01,2.877199e+01,3.298827e+01,3.131475e+01,3.316756e+01,3.113204e+01,3.173002e+01,
QP,9.401904e-01,8.578377e-01,8.930765e-01,8.495941e-01,9.318825e-01,8.469005e-01,8.302402e-01,9.302068e-01,8.742100e-01,9.416196e-01,8.933196e-01,8.557798e-01,
,,Ankylosaurus.png,Bikes.png,ColorChart.png,DangerdeMort.png,Desktop.png,Flowers.png,FountainVincent.png,Friends.png,ISOChart.png,Magnets.png,StonePillarsOutside.png,Vespa.png
QP,3.166842e+01,2.897869e+01,2.898927e+01,3.009165e+01,3.102092e+01,2.961704e+01,2.772402e+01,3.215534e+01,3.034842e+01,3.246599e+01,3.013424e+01,3.094005e+01,
QP,9.321248e-01,8.351772e-01,8.777809e-01,8.233761e-01,9.200300e-01,8.193410e-01,7.967412e-01,9.170258e-01,8.529018e-01,9.352101e-01,8.715618e-01,8.377871e-01,
,,Ankylosaurus.png,Bikes.png,ColorChart.png,DangerdeMort.png,Desktop.png,Flowers.png,FountainVincent.png,Friends.png,ISOChart.png,Magnets.png,StonePillarsOutside.png,Vespa.png
QP,3.116400e+01,2.805424e+01,2.804051e+01,2.912910e+01,3.010783e+01,2.867482e+01,2.676283e+01,3.134752e+01,2.950628e+01,3.188653e+01,2.919988e+01,3.009754e+01,
QP,9.234809e-01,8.098067e-01,8.473449e-01,7.904506e-01,9.081247e-01,7.883525e-01,7.617262e-01,9.024596e-01,8.372701e-01,9.318179e-01,8.447500e-01,8.158078e-01,
,,Ankylosaurus.png,Bikes.png,ColorChart.png,DangerdeMort.png,Desktop.png,Flowers.png,FountainVincent.png,Friends.png,ISOChart.png,Magnets.png,StonePillarsOutside.png,Vespa.png
QP,3.025968e+01,2.712569e+01,2.717087e+01,2.822906e+01,2.916181e+01,2.774946e+01,2.580557e+01,3.043919e+01,2.850152e+01,3.070108e+01,2.826858e+01,2.926569e+01,
QP,9.122843e-01,7.795185e-01,8.224568e-01,7.586083e-01,8.935117e-01,7.536045e-01,7.197120e-01,8.824903e-01,8.092025e-01,9.158755e-01,8.119267e-01,7.888468e-01,
